,id,title,keywords
0,16wp3f4,Singapore's Shanti Pereira qualifies for 200m final at Asian Games,pereira final games women m asian time hangzhou china shanti qualified finishing heat clocking oct finishers heats automatically qualify fastest
0,16wras6,Quah Ting Wen apologises for jumping into pool 0.1 sec early costing S'pore team Asian Games bronze medal,games wen asian ting team swimming finished final post like swimmers silver m relay sisters sim quah jing sports japan
0,16wtwaj,"About 1,900 BTO flats in 2 Choa Chu Kang projects to be offered in early Oct launch ",rail railway area flats developments choa chu kang waiting time corridor green cck inspired hdb train residents build order bto
0,16wuflt,"Weaker ringgit draws more Johoreans to work in Singapore, leaving manpower shortages in state's key sectors",added work pay bahru lim chefs skilled told cna working government employees generally ang shortage longer executive chef worked jb
0,16wuxlt,Lab-grown pork likely to be available in Singapore in 2024 ,products meatable cultivated meat pork process cells based grown developing plant company taste wilschut pulled fat muscle sausage protein second
0,16ww8h8,"Phallic or paper clip?: Singapore Air Force plane caught on radar drawing ‘x-rated’ symbol, pattern ‘not intentional’, says RSAF ",flight aircraft rsaf training media australian straits pattern air force plane western australia users reports bullsbrook patterns think clippy paperclip
0,16wznsl,"1-man show: Man, 33, sets up Meaty Western in Bedok North in 2017, opens 2pm-2am except Tues",stall food post like run facebook fare operations chicken burger steak google live east western midnight luck meaty bedok north
0,16wzvmj,"Female motorcyclist, 23, dies after traffic accident in Jurong",accident jurong scene scdf old female motorcyclist took place gateway vigilante facebook police believed skidded control fatal traffic claimed life
0,16x47yr,Migrant workers at Tanah Merah dorm have to wait hours for shuttle bus; operator says it's only a peak-period problem,bus workers shuttle dormitory coastal added tanah merah located today gopal service residents migrant changi company video public transport minute
0,16x6fvw,Suspected drink driver arrested after accident in Ang Mo Kio ,old accident taken car arrested driver near road suspected drink driving following involving cars ang mo kio avenue morning response
0,16xeqmm,Banks in Singapore to start charging customers by November for issuing Singdollar cheques,cheques cent banks mas costs customers abs processing clearing corporates charges corporate use usage payments cost start denominated announced dbs
0,16xgq7n,"'It's like a thrill': More wildlife sightings in Singapore due to habitat change, people seeking out animals",animals ms tsang like group page private share friends public decade members tapir interest wildlife sightings numbers exploded started rachel
0,16xhbfg,"The Big Read: Paternity leave helps but for men to take on fair share of parenting, a rethink of gender roles is needed",leave weeks fathers children son old act employers milk news khai week having moment father amendment paid double given allow
0,16xi3l8,Unemployment support in Singapore likely to come with conditions such as skills upgrading: Economists,new unemployment help government skills job policy added minister wong come benefits long people find work conditions training jobs having
0,16xjf9h,Ex-convict turned to muay thai to mentor youth and escape life of violence ,sham gym bia coach childhood school skills got assault related picking prison raaj elansharan came single parent home rough abused
0,16xm4os,Surge in EV chargers installed in condos with support of govt grant ,chargers ev condos cent installation charging installed support threshold kigo number grant august common charger july available come lower resolutions
0,16xo1y2,Commentary: What Jimmy Fallon taught us about toxic behaviour in the workplace,bullying workplace bully work incident higher victims bullied subtle organisational involved better emails false victim supervisor told employee things working
0,16xz3xn,"10 months' jail for man who repeatedly asked teenage son’s best friend for sex, nude photos",accused requests father son sex jail documents school dpp tan asked phone sexual teenager threats teenage friend messages ask stated
0,16xx7ng,Woman admits being an agent of criminal group that earned over $26m in about 6 months ,wong seet group act sentenced organised criminal charges crime jail given fine allowance brother law admitted husband unlawful activities brothers
0,16xuo68,Singapore's Shanti Pereira wins historic 200m Asian Games gold,china women odiong hangzhou held breath expectation sprint queen delivered jubilation olympic sports centre stadium oct shanti pereira clocked win
0,16xui96,"Around 500 beds added to healthcare system to alleviate crunch, more expected by year end: Ong Ye Kung ",beds end hospitals patients health care added ong ttsh ich healthcare infrastructure development moh bed open acute community mobile inpatient
0,16ycmp1,"S'pore woman, 43, rescued from parapet edge at Dhoby Ghaut MRT",woman station wu lim video held staff elderly health sbs transit raquel ledge tan rescued seen standing outside dhoby ghaut
0,16ycwib,"Short thundery showers on most days, but can be 34°C in first half of Oct. 2023",c maximum showers daily coming fortnight thundery expected afternoon parts temperatures temperature remove umbrellas bags localised short duration late morning
0,16ydiof,Singapore Savings Bond 10-year average yield reaches year-to-date high of 3.32% ,cent bonds yields average rates ssbs rate tranche reached high issued interest allotment size pm time hikes term return latest
0,16ydjzn,"Ex-Khoo Teck Puat Hospital employee probed over alleged theft of milk powder, goods worth $6m ",hospital ktph choo million police goods milk staff powder stocks retail process inventory senior member worth alerted nhg june ych
0,16ye5fy,Good class bungalow of Three Arrows’ Zhu Su being used for wife’s urban farming company ,company abundant cities yarwood arrows site property website gcb co fish bungalow zhu crypto urban dr tao bt pond billion
0,16yqc40,Singapore’s Loh Kean Yew out of Asian Games after loss to Malaysia’s Ng Tze Yong,loh ng number men apart games lost singles round minutes beat saw player hangzhou disappointment kean yew face plain asian
0,16yn4ta,"10 suspects in billion-dollar money laundering case not on Interpol list; other Singaporeans, PRs being probed: Josephine Teo",billion teo people saying transactions laundering noted applicants volume applications verification checks launderers criminals rules majority try risks updated case
0,16ylj0t,MCCY reminds public disposing of drinks with Lee Kuan Yew’s image to do so appropriately & responsibly,drinks lee commemorative mccy kuan yew image guidelines yeo commercial products drink tan minister poh question use local ministry line
0,16ylh9p,New inter-ministerial committee to review and strengthen Singapore’s anti-money laundering regime,money indranee laundering ms directorships nominee committee acra directors company government new ensure added hold number ministerial regime better providers
0,16yl26o,"Who will bear the cost? Chee Hong Tat shares why suggestions on freezing public transport fares are 'not sound', Singapore News",fare transport cent future chee ptc fares cost operators chua subsidies public acting minister parliament bus hike increase mp wee
0,16yl06r,"HDB maisonette sets new record for Bishan and executives at $1.45m, Money News",hdb maisonette bishan million record market sale price unit square real estate properties space breaking property foot demand new milestone
0,16yksuz,800 students referred to HSA for vaping in 2022; number was fewer than 50 four years ago,products students vaping illegal fined offence vapes people caught dr maliki physical education harmful health offenders import distribute sell jailed
0,16yt0be,Orchard Towers brawl: Man on trial for murder punched victim while holding knife ,tan knife group faces karambit satheesh orchard towers face finger july death surveillance footage floor friends seen stab wound neck
0,16ythkw,Cold case solved: Stranger who sexually assaulted 6-year-old girl during hide-and-seek gets jail,lau sexual old girl dna sister void police school offence told deck jail case act child semen primary girls went
0,16yvvq3,"SMRT inks first sister metro pact, with Taipei Metro operator, to improve rail services ",smrt trtc agreement rail operator taipei metro best reliability operators million transit share practices maintenance engineering held president lam enhance
0,16yx40b,No spike in number of children abused to death: MSF ,msf care family children child foster umaisyah abused death ensure yong old ministry social development strengthened protocols look agencies masagos
0,16z6c5v,Singaporean designer makes her mark on international stage at Paris Fashion Week,collection paris thulasidas oct designer indian fashion ms told kavita introduced debut locally young age thirty later owner local label
0,16z99yi,Regular safety checks and monitoring for at least 12 months after a child returns to family of origin: MSF,care foster masagos abuse old msf placed family community ensure safety father national origin support case social development safeguards cases
0,16zcesb,"‘Worst experience’: Johor Crown Prince recounts Bangkok’s Siam Paragon shooting, thanks S’pore for help ",family tunku ismail shooting hotel team told embassy johor ibrahim near bangkok safe shopping mall people started security ongoing situation
0,16zd87r,"Doctor sues property adviser who recommended UK hotel investment that flopped, gets S$85,000",kwek ms dr lim project attendees cent claim investments diligence returns received found tillington losses told programme yield unit invested
0,16zdgjm,Commentary: Fake IMH doctors trolling TikTok users aren’t funny or original,imh people profiles institute tiktok comments content creator growing trend fake doctor claiming mental health appearing popular social media app
0,16zgqi9,"Suspected Thai mall shooter suffered breakdown, used modified pistol, police say",thai suspected foreigners mall shooting psychological bangkok teenager killing suffered breakdown modified handgun designed fire blanks police oct chaos erupted
0,16zgqw8,Police reports lodged against 'inappropriate' Wood Morning S'pore exhibition held at Funan mall,exhibition shopping mall display parliament wood morning held actioncity store funan inappropriate toys toy artist juce gace merchandise cartoon characters
0,16zhei5,"Singapore's postage rates remain comparable to other countries after price increase, says Tan Kiat How",postage rates increase singpost imda cents price comparable countries tan oct rate mail costs increased postal letters japan g hike
0,16zhjn3,COE prices for Category B and Open Category hit new highs again,exercise coes bidding cars b open rose coe larger closed vehicles quota available additional october certificate entitlement premiums category hit
0,16zinm7,"'I no longer feel safe in Singapore': Woman says she was filmed while showering in gym , Singapore News",tan gym strength masters experience owner feel like leave incident sept time staff privately added cold shower allegedly filmed dare
0,16zj6ed,SingPost delivery business in S’pore lost $16m in 2022; review of postal industry under way ,singpost mail tan business postal cents postage post operating million parcel logistics delivery costs government incurred amid competition e commerce
0,16zjg02,Marymount Flyover to shut from Oct 8 for construction of North-South Corridor ,road marymount lta travelling new braddell change traffic bus flyover closed construction nsc tunnel run underneath completed ang mo kio
0,16zjpl8,"MP Louis Chua calls for flexible work arrangements to be enshrined into law, Gan Siow Huang cautions against rigid solutions ",fwas flexible work arrangements workers chua employers employees time right job caregiving legal non legislation caregivers disabilities efforts need provide
0,16zk5eo,Mental health services to be included in Healthier SG initiative: Ong Ye Kung,mental ong health healthier national preventive care coming gps speech work community help individuals stress added issue generation social need
0,16zl8dh,Find good people with right motivations and give them agency: SM Teo on LKY’s succession planning ,lee teo leaders generation asia times today minister kuan yew thought late summit conference looking international people asked chinese friend
0,16zob0d,Parliament debates on what constitutes basic needs after NTU report on adequate minimum incomes ,basic income needs chua study response mis report msf families living like low comcare schemes lower added data households items
0,16zp7lu,"Jail for man, 20, who smuggled 8 puppies from JB into Singapore; 6 died in modified car fuel tank",lam car animals alex modified friend agreed task tank taken consideration age malaysian july woodlands offered job earn extra income
0,16zsy94,"Water price hike to cover operating costs, long-term investment in infrastructure: Amy Khor ",water price hike khor tax consumption pub conservation dr future implemented increase cubic m ensures infrastructure cost producing supplying response
0,16ztnlj,"Man, 72, molests teenage girl on bus in Paya Lebar, claims he wanted to grab a pole",nahrawi victim bus girl incident district ling found hand trial teenager vehicle judge account old convicted offence documents boarded later
0,17027a5,"Commentary: Superstitions on Tiger or Dragon year babies won’t disappear, but they will evolve",chinese birth zodiac tfr tiger dragon births cent view personal attributes strengths luck related way positioning constellations time illogical curious
0,170302d,"Perfume, overseas holidays — basic needs or aspirational goods? Parliament debates",basic chua financial families needs report households study living mis assistance msf time like clearly comcare ang data need items
0,1703nb8,Commentary: The urgency of addressing rising sea levels in Singapore,rise level m future levels land earth new research climate place impact melting country billion high sea answering question carries
0,1705jsi,"Singaporean duo create chicken rice and ‘uwu’ bird operatic songs, which were performed in US recitals ",dish song ho missed dr composed recitals lyrics sung sridhar xie humble chicken rice consider republic unofficial national inspiration songs
0,17094jw,Tender called to build S’pore’s longest elevated cycling bridge across PIE by 2027 ,kallang road new underpass bishan long near river project cycling bridge expressway built st andrew junior ura form park connector
0,1709utx,"New sea sports centre, convenience store and glamping tents opening on Lazarus Island ",lazarus like store activities island facilities convenience units aim rustic visitors statement food ready sunseekers heading soon enjoy new sea
0,170a02a,"Tanglin Halt fish soup stall owner gets jail after attacking rival, fracturing his skull, hand and wrist",peck wee pole stall fish soup protruding nail rival voluntarily causing grievous hurt right wrist documents later end hit wife
0,170aktp,"30 people fall ill after St Regis wedding banquet; SFA, MOH investigating ",hotel wedding poisoning incident food consuming st regis sfa spokesman guests reception investigation added hygiene safety symptoms thirty people came
0,170aooz,Chopper-wielding man jailed for threatening to kill condominium neighbours over noise dispute,lo chopper unit victims threat condominium wife noise prosecutor jailed gate heard floor multiple police threatening neighbours pleaded guilty criminal
0,1.71E+75,Singapore should not be as crowded as Hong Kong: Lee ,population hong kong million crowded lee drive city state prime minister quoted saying people reuters increase leave kuan yew country
0,170cgmo,Former construction firm manager involved in $760k zoo bribery case gets 26 months’ jail ,chong yong wrs toh syc manager father took involving arrangement time bribes zoo director working shin corruption facilities chin known
0,170dgva,$32m luxury goods scam couple: Woman hit with 166 new cheating charges ,charges couple luxury allegedly pi watches june police involved goods million handed thai pansuk given new cheating faces charge orders
0,170dkmz,"Arcade prizes value to be restricted to less than S$100 from Mar. 1, 2024: Shanmugam",games mha restrictions shanmugam prizes risk operators centres students hours youths school gambling arcades chance yip entry winning display odds
0,170fc3b,"'A nice, warm welcome': Crowds cheer and applaud as Singapore's sprint queen Shanti Pereira returns home, Singapore News",pereira gold games asian lot shanti home athletes hard people arrival big nice added young hope dream crowd gathered changi
0,170gxlk,Male teacher assumed fake identities online and sent multiple victims sexually explicit material ,sexual jasmin accused topics experiences tay victims facebook school teacher online fake identities woman time offences chatting set profile profiles
0,170javg,Singapore DPM Lawrence Wong to make 11-day working visit to US,minister wong prime visit york finance deputy arizona new washington dc working trip oct office pmo air force detachment forum
0,170l3i8,NTU to review internal processes after queer-themed performance that 'should not have been staged in public',low nac performances article performance public position staged ntu statement drag sept today lgbtq themes comments misleading university added review
0,170w72g,Commentary: Has modern-day parenting created children who are incapable of looking after themselves?,children parents help eczema term young number domestic chores live helper severe allergies personal strawberry generation older generations hardworking people
0,170xoa7,Studying no longer allowed at Gloria Jean's Coffees West Coast Plaza outlet on weekends & public holidays,gloria jean coffees outlet policy coffee chain customers hours table studying west coast plaza post customer students leave time business
0,170xxu8,"Defamation case should be in 'full view of Singapore public', says Shanmugam after Lee Hsien Yang suggests closed-door arbitration",lee shanmugam defamation facebook public post suggested singaporeans sued hsien welcome opportunity defend view thinks basis suits affairs sides conducted
0,170yo1s,AHTC to raise service and conservancy charges from Oct 1 ,ahtc town increase fees tenants residents monthly sq inflation high costs flats cents food stalls councils run wp cost aljunied
0,170z7mi,'I had goosebumps': Supporters show up at Changi Airport to welcome sprinter Shanti Pereira,otto fawcett m race ms old doehling jumped bed alarm rang oct morning school main event came going airport welcome
0,170zhpr,"National monuments of Singapore: Former Keng Teck Whay building, Lifestyle News",keng teck whay members taoist built building association mission yu huang emperor hall monument gazetted need hokkien established gong temple
0,1710o3u,Thinking twice about having kids even if money isn’t an issue? ,children having better recent article psychologist amy lim suggests pursuit social status inclined case reasons alternatively change mind academics parents
0,1714kx1,"Man agreed to sell Singpass account for S$8,000, it was used to launder S$220,000 from scam victims",lee singpass accounts account bank details prosecutor open scam proceeds online money cases old agreed exchange charge password friend court
0,1715kwc,"Man agreed to sell Singpass account for S$8,000, it was used to launder S$220,000 from scam victims",lee singpass accounts account bank details prosecutor open scam proceeds online money cases old agreed exchange charge password friend court
0,17165vl,First Sin Ming flats in 35 years among 8 BTO projects to go on sale in December,projects flats sales exercise december bukit housing development board offer build order bto final located sin ming road bishan set
0,1717iwd,"Singapore experiencing new COVID-19 wave, more people expected to fall sick in coming weeks: Ong Ye Kung",weeks ong cases variants wave health april severe illness infection people fall sick coming centre peak infections new seniors vulnerable
0,1718nz2,"Generative AI being tested for use in Singapore Courts, starting with small claims tribunal",ai cases legal abdullah claims think generative use small point thinking litigants questions based help harvey law research work claim
0,17197ff,"Defamation case should be in 'full view of Singapore public', says Shanmugam after Lee Hsien Yang suggests closed-door arbitration",lee shanmugam defamation facebook public post suggested singaporeans sued hsien welcome opportunity defend view thinks basis suits affairs sides conducted
0,175avyu,Expansion of Singapore Armed Forces' training area in Australia on track for 2024 completion,training saf shoalwater conduct defence expansion exercise annually bay area australia personnel times size exercises minister completed largest unilateral overseas
0,175atej,"Drugs worth S$473,000 seized by CNB; man and woman arrested",g ice heroin cannabis tablets seized ecstasy cnb woman found arrested drug bottles methadone old condominium suspects people suspected trafficking
0,175af33,Boy throws small bicycle & stone off HDB corridor in Ang Mo Kio,boy stone girl bicycle corridor small hdb ang kio mothership reader pointed away children caught closed circuit television cctv camera
0,175a1al,"Money laundering case: President’s Challenge received over $350k in donations, ComChest got $30k ",comchest police reports money donations agencies president challenge individuals charged case filed strs disbursed benefiting affected working closely charities coc
0,1759yek,Husband on trial for sexually assaulting his wife,wife accused sexual allegation brother mother children allegedly sexually withdraw family case prosecution husband tried like marriage master bedroom old
0,17595jx,"Football: Indonesia wants to co-host 2034 World Cup with Australia, Malaysia, Singapore",fifa world bid cup australia host malaysia pssi edition countries comment indonesia possible joint football oct invited asia oceania rights
0,1758yzl,"Drunk man refused to leave midnight train, chased assistant station manager and gave him concussion",pandiselvam train assistant manager leave door belongings head voluntarily causing platform cabin prosecutor old refused depot weeks jail hurt fined
0,1758c63,"2 boys fight at Northpoint City in Yishun, passerby breaks them up",teen red video students seen altercation shin min teens yishun adult passerby sgfollowsall telegram group shop counselling punch dark blue
0,1757smu,Man taken to hospital after his truck skids and hits lamp post in Bras Basah ,truck taken skidded bras basah alerted old hospital driving turned morning police accident involving pick junction road prinsep street believed
0,1763ky3,NTU don accused of plagiarising former student’s work ‘no longer employed by the university’ ,qu prof ntu chinese paper university july wang academic centre project research department nanyang longer employed straits times spokesman associate
0,17620kq,"Singapore picks up speed in digital asset, blockchain race as firms look to expand ",firms crypto picking payments speed race bring digital assets blockchain mainstream market partnerships area weeks number tie ups non announced
0,1761hxx,Man slashed neighbour who confronted him with wooden pole over three-year noise dispute,lam hassan pole wooden sng knife noise kitchen jail weapon victim gone head hurt heard floor home hit suffered given
0,17617lt,Money laundering accused proposes 24-hour surveillance but fails in latest bid for bail ,vang bail assets passports argued judge wong added court flight risk overseas application client granted applications seized shuiming charged placed
0,176152n,"2 men, 76 & 83, succumb to injuries & pass away after friend's car rams into them in Toa Payoh",incident pedestrians near toa payoh male according shin min road seen lying car park driver lorong away performing cpr daily
0,1760pwa,"Woman scammed 10 people of S$880,000 including lover who cheated parents of life savings for her",kwek victim money cheated fell love sent godmother old jewellery family asked victims lai realised time ica job jail police
0,1763r8t,"Scoot flight bound for Perth declares emergency, circles back to Singapore ",flight perth emergency flying scoot departing making way unspecified path tracking website showed boeing dreamliner circles coast malaysia changi airport
0,1764h1t,Scoot flight from Singapore to Perth turned back due to bomb threat; RSAF aircraft activated to escort plane,scoot plane changi bomb threat aircraft turn security provide customers minutes holding landing flights airlines flight going perth turned airport
0,1764hv9,"Serial con woman admits cheating 10 people, including boyfriend’s parents, of over $880k ",lai kwek mother woman cheat parents told couple later elderly total sister police met rachel business needed oct investment serial
0,17652qj,"Singaporeans can condemn terrorist attacks in Israel and yet sympathise with Palestinians' plight: Shanmugam, Singapore News",israel shanmugam events singaporeans terrorist attacks hamas possible security oct measures letter palestinians added affect precious ministry gaza people detained
0,1765dza,Scoot plane flying to Perth forced to return to S'pore after bomb threat,scoot plane statement flight changi airport perth rsaf aircraft bomb threat mothership read security provide customers en route australia escorted
0,1766ll0,"Singapore condemns Hamas' terror attack on Israel, atrocities 'cannot be justified by any rationale': Shanmugam",israel attack hamas possible shanmugam oct palestinians terrorist people civilians atrocities committed terror justified rationale whatsoever law home affairs minister
0,1766rp0,Woman questioned by police in viral video refused to wear mask and abused staff: SGH ,emergency department woman abusive staff tan employees patients refused police called added prof wearing treatment social media douyin following hours
0,1766vje,"Billion-dollar money laundering case: Vang Shuiming tries again for bail with 24-hour tracking, fails",bail vang court criminal application lawyers billion released high revision judge rejected grant lower sep charges worth million china arrested
0,17686uw,Deep-tech firms spun off from NTU research worth $820m collectively ,mrna start ups research vaccines technology acm biotech firms ntu low economic companies tech sectors nallani added ntuitive property investors
0,176i6iy,Woman seen in viral videos arguing with police at hospital to be charged with multiple offences,woman officers public security investigation abusive sgh emergency treatment officer punishable fine language hospital department medical allegedly refused team videos
0,176kvm5,"Singapore and Thailand discuss strengthening ties, deepening ASEAN integration ",prime minister srettha thailand looking work areas digital green economy discussions took place lee hsien loong thai thavisin rebecca metteo
0,176l7v8,Singapore get 2026 FIFA World Cup qualifying campaign underway with 2-1 win over Guam,guam asian qualifying half lions cunliffe tie afc second fifa cup stadium oct huizen mahler match leg teams ranked group
0,176lnjk,'Feels like a fan': Tengah home owners raise more issues with new centralised cooling system,cooling system units tengah home water plantation flat centralised owners air signed issues leaking new flats conventional conditioning sp group
0,176nnfq,"MAS keeps monetary policy unchanged, expects Singapore's economy to ‘improve gradually’ next year",policy band mas rate monetary exchange central dollar expected economic inflation bank appreciation nominal effective changes width growth global price
0,176pqzl,Woman caught on video arguing with police charged with using abusive language on public servant ,han police allegedly sgh handed charges public marina verbally officers nuisance chinese abusive security oct private industry act incident sail
0,176qv9y,Deregistered cars found parked in multi-storey carpark in Tiong Bahru; HDB investigating ,carpark cars deregistered parked multi storey post screenshot registration available car found tiong bahru likely bid illegally evade parking fines
0,176sqto,Bus driver suspended after allegedly yelling vulgarities at commuters who helped 11-year-old girl ,driver gwee incident ms arm added spokesman tower transit suspended hurled vulgarities open doors girl mother post commuters passenger told
0,176y1lo,Netizens in a flap after McDonald’s Singapore removes whipped cream from frappes ,whipped cream mcdonald drink announced facebook fans frappes ice blended sweet certainly fast food chain recently longer served company change
0,176xnm7,47 suspected drug traffickers and abusers arrested for transactions conducted online ,g tablets seized drug oct cannabis ice drugs unit arrested operations conducted cnb ecstasy powdery substance believed controlled brothers people
0,176wcrn,"DJ Dennis Chew, studying at Ngee Ann Poly, receives scholarship at age 50 ",chew awarded academic old pursue dreams turned chinese media polytechnic posted instagram photo certificate pei patient smart learning achieve local
0,176u9jo,"Man sexually assaulted date after she shared bad relationship experiences and cried, gets jail and caning",ng victim sex relationship woman suggested wechat told jail strokes cane sexual saying place going apologised date getting talked shared
0,17723v1,"S'pore woman, 49, married with 2 children, charms 3 younger men into giving her over S$300,000",kwek lai old salesman woman money cheated younger fell family police victims told time relationship parents sent report job ica
0,177c18w,"‘Why take this kind of person out?’ Amid social stigma of autism, more retailers go for inclusivity",staff ec house hour consider event confidence expanding outlets uniqlo initiative service hopes quiet helpful rajendran right support shopping friendly
0,177ea9y,Australian arrested for allegedly making false bomb threat on Scoot flight to be charged on Saturday ,bomb threat flight false threats making perth charged crew members plane airport public australian allegedly scoot board departed aircraft changi
0,177fugg,"S'pore retiree to donate S$20 million to 10 charities after he dies, says 3 kids got enough to live",loh donate donated million old charities fortune retired live life exactly started business travelled humbly told help charitable build food
0,177gtyz,Man charged after telling cruise operator its ship would explode if it did not return his money ,threat ship neo false threats making resorts world cruises operator arrested alleged police onboard officers checks found old charged bomb
0,177hgrf,"F&B outlets offering to pay more for top reviews should be 'unreservedly' rejected, say some food bloggers",reviews like ms content paid reviewers cna yan pay client listicles team try spot listicle told lui media clients accept
0,177i7jq,Singapore Sports School fires badminton coach after death of 14-year-old student ,coach pranav school badminton track time trial ssp death student felt unwell fitness subsequently oct condition left later noticed given
0,177ixiw,Jail for male engineer who filmed intern in toilet cubicle after developing a crush on him,intern zhong company toilet supervisor victim dpp chu occasions caught time cubicle developed crush started videos told misunderstanding old charges
0,177jjqm,An Olympic dream cut short: Father of late Singapore Sports School student opens up on son’s untimely death,madhaik pranav sports told parents son school hospital came struggling prem singh wife home oct called happened feeling ambulance heading
0,177kpnt,"‘Why take this kind of person out?’ Amid social stigma of autism, more retailers go for inclusivity",staff ec house hour consider event confidence expanding outlets uniqlo initiative service hopes quiet helpful rajendran right support shopping friendly
0,177l0y9,DBS online and physical services down; thousands of complaints on Downdetector ,dbs bank unable use mobile services cards website posb scores customers online physical transactions afternoon downdetector tracks service disruptions saw
0,177llg8,"Spike in malware scam victims in July, August; losses equivalent to that in first half of 2023 ",victims malware scams lost apps august million scammers devices banks anti ocbc bank savings dollars loans banking transactions common january
0,177odzw,SCDF officer to be charged over death of NSF firefighter who was allegedly left alone to fight fire ,scdf firefighting officer operation safety yap command review death charged fire incident control old nsf oct force allegedly unit went
0,177si9z,Floor tiles in HDB flat living room suddenly explode while nobody around,tiles hdb owners flat facebook user mnd dislodged development period help repairs responsible maintenance flats repair engage contractors unexpected things
0,177ug2r,The Car Expo draws bargain hunters despite record COE premiums ,coe event expo new like price listed hybrid vehicle deals tender premium lexus brand electric cars value mass market priced
0,177wii6,"Woman involved in SGH fracas has Douyin account with over 265,000 followers: Shin Min",account han shin min douyin followers feizi main footage uploaded marina tagged daily news reported woman charged allegedly vulgar language
